,offset_start,offset_end,complex_phrase,goldstandard_label,sentence_tokens,sentence_token_labels
10,"[53, 0, 29, 14, 57]","[56, 4, 36, 28, 66]","['Amt', 'Auch', 'Merkels', 'Stellvertreter', 'bestätigt']","[0, 0, 0, 1, 0]","['Auch', 'die', 'vier', 'Stellvertreter', 'Merkels', 'wurden', 'in', 'ihrem', 'Amt', 'bestätigt', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
11,"[0, 38, 63, 50, 73, 29, 17]","[4, 44, 72, 55, 81, 37, 22]","['Auch', 'Brände', 'Discothek', 'Opfer', 'ereignet', 'kleinere', 'zuvor']","[0, 0, 0, 0, 0, 0, 0]","['Auch', 'hätten', 'sich', 'zuvor', 'schon', 'kleinere', 'Brände', 'ohne', 'Opfer', 'in', 'der', 'Discothek', 'ereignet', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,"[0, 31, 72, 66, 12, 77, 52]","[6, 51, 76, 71, 18, 85, 62]","['August', 'Renovierungsarbeiten', 'Stil', 'alten', 'erbaut', 'erhalten', 'weitgehend']","[0, 1, 0, 0, 0, 0, 1]","['August', '1778', 'erbaut', 'und', 'bei', 'den', 'Renovierungsarbeiten', 'weitgehend', 'im', 'alten', 'Stil', 'erhalten', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
13,"[0, 68, 103, 166, 16, 115, 77, 56, 33, 131, 49, 49, 149, 174]","[11, 74, 109, 173, 25, 126, 87, 67, 40, 148, 55, 74, 154, 180]","['Befürworter', 'FIDESZ', 'Gesetz', 'Grenzen', 'Initiator', 'Möglichkeit', 'Opposition', 'Volkspartei', 'Vorlage', 'Wiedervereinigung', 'rechte', 'rechte Volkspartei FIDESZ', 'sieht', 'ändern']","[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","['Befürworter', 'und', 'Initiator', 'dieser', 'Vorlage', 'ist', 'die', 'rechte', 'Volkspartei', 'FIDESZ', '(', 'Opposition', ')', ',', 'die', 'in', 'dem', 'Gesetz', 'eine', 'Möglichkeit', 'zur', 'Wiedervereinigung', 'sieht', ',', 'ohne', 'die', 'Grenzen', 'ändern', 'zu', 'müssen', '.']","[1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,"[48, 48, 98, 67, 16, 33, 86, 8, 117, 26]","[63, 75, 116, 75, 20, 39, 93, 12, 126, 32]","['Bundesparteitag', 'Bundesparteitag in Hannover', 'Delegiertenstimmen', 'Hannover', 'Jahr', 'Merkel', 'Prozent', 'Wahl', 'aufweisen', 'konnte']","[1, 1, 1, 0, 0, 0, 0, 0, 1, 0]","['Bei', 'der', 'Wahl', 'im', 'Jahr', '2002', 'konnte', 'Merkel', 'auf', 'dem', 'Bundesparteitag', 'in', 'Hannover', 'noch', '93,7', 'Prozent', 'der', 'Delegiertenstimmen', 'aufweisen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
15,"[0, 9]","[6, 20]","['Berlin', 'Deutschland']","[1, 1]","['Berlin', '(', 'Deutschland', ')', ',', '01.']","[1, 0, 1, 0, 0, 0]"
16,"[0, 9]","[6, 20]","['Berlin', 'Deutschland']","[0, 0]","['Berlin', '(', 'Deutschland', ')', ',', '12.']","[0, 0, 0, 0, 0, 0]"
17,"[0, 29, 17, 39]","[6, 38, 24, 53]","['Bisher', 'Protokoll', 'Staaten', 'unterschrieben']","[0, 1, 0, 1]","['Bisher', 'haben', '129', 'Staaten', 'das', 'Protokoll', 'unterschrieben', '.']","[0, 0, 0, 0, 0, 1, 1, 0]"
18,"[7, 15, 0, 0]","[12, 26, 6, 12]","['Aires', 'Argentinien', 'Buenos', 'Buenos Aires']","[0, 0, 0, 1]","['Buenos', 'Aires', '(', 'Argentinien', ')', ',', '02.']","[0, 0, 0, 0, 0, 0, 0]"
19,"[29, 57, 6, 18]","[45, 64, 11, 28]","['Siedlungsgebiete', 'Staaten', 'kamen', 'ungarische']","[1, 0, 0, 1]","['Dabei', 'kamen', 'viele', 'ungarische', 'Siedlungsgebiete', 'zu', 'anderen', 'Staaten', '.']","[0, 0, 0, 1, 1, 0, 0, 0, 0]"
20,"[30, 50]","[36, 57]","['Bühnen', 'geprobt']","[0, 0]","['Dadurch', 'kann', 'künftig', 'auf', 'drei', 'Bühnen', 'gleichzeitig', 'geprobt', 'werden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"[13, 52, 74, 20, 6, 27]","[19, 69, 77, 26, 12, 42]","['Angela', 'Bundesvorsitzende', 'CDU', 'Merkel', 'bleibt', 'voraussichtlich']","[0, 1, 1, 0, 0, 1]","['Damit', 'bleibt', 'Angela', 'Merkel', 'voraussichtlich', 'bis', '2006', 'Bundesvorsitzende', 'der', 'CDU', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
22,"[34, 34, 34, 4, 69, 22, 96, 43, 50]","[42, 49, 58, 11, 75, 29, 100, 49, 58]","['Anatoliy', 'Anatoliy Yarema', 'Anatoliy Yarema verfügte', 'Gericht', 'Urteil', 'Vorsitz', 'Wahl', 'Yarema', 'verfügte']","[0, 1, 1, 0, 0, 0, 0, 0, 1]","['Das', 'Gericht', 'unser', 'dem', 'Vorsitz', 'von', 'Anatoliy', 'Yarema', 'verfügte', 'in', 'seinem', 'Urteil', 'außerdem', ',', 'dass', 'die', 'Wahl', 'bis', 'zum', '26.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"[91, 70, 14, 70, 126, 111, 4, 74, 56, 39, 134, 142]","[98, 73, 17, 78, 133, 121, 11, 78, 67, 46, 141, 150]","['Auflage', 'BVG', 'BVG', 'BVG Plus', 'Berlins', 'Exemplaren', 'Konzept', 'Plus', 'Sonderdruck', 'Sonntag', 'Straßen', 'verteilt']","[0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0]","['Das', 'Konzept', '„', 'BVG', '2005', 'plus', '“', 'wurde', 'am', 'Sonntag', 'in', 'einem', 'Sonderdruck', '„', 'BVG', 'Plus', '“', 'mit', 'einer', 'Auflage', 'von', '750.000', 'Exemplaren', 'auf', 'Berlins', 'Straßen', 'verteilt', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
24,"[41, 48, 24, 4, 80, 91, 110, 57]","[47, 56, 40, 13, 86, 106, 120, 70]","['Anfang', 'Dezember', 'Gesetzesänderung', 'Parlament', 'Risiko', 'Wahlfälschungen', 'reduzieren', 'verabschiedet']","[0, 0, 1, 0, 0, 1, 1, 1]","['Das', 'Parlament', 'hatte', 'die', 'Gesetzesänderung', 'Anfang', 'Dezember', 'verabschiedet', ',', 'um', 'das', 'Risiko', 'von', 'Wahlfälschungen', 'zu', 'reduzieren', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
25,"[4, 23, 11]","[10, 34, 16]","['Urteil', 'angefochten', 'könne']","[0, 1, 0]","['Das', 'Urteil', 'könne', 'nicht', 'angefochten', 'werden', '.']","[0, 0, 0, 0, 1, 0, 0]"
26,"[224, 127, 59, 21, 142, 4, 96, 106, 148, 11, 211, 174]","[231, 133, 65, 32, 147, 10, 105, 117, 156, 16, 223, 188]","['Angaben', 'Bürger', 'Bürger', 'Hauptgründe', 'Liste', 'Urteil', 'Wahlliste', 'aufgenommen', 'gekommen', 'nennt', 'quantitative', 'wahlberechtigt']","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1]","['Das', 'Urteil', 'nennt', 'als', 'Hauptgründe', ':', '„', '...', 'ein', 'und', 'dieselben', 'Bürger', 'wurden', 'mehr', 'als', 'einmal', 'in', 'die', 'Wahlliste', 'aufgenommen', '...', 'dass', 'Bürger', 'auf', 'die', 'Liste', 'gekommen', 'sind', ',', 'die', 'nicht', 'wahlberechtigt', 'sind', '“', ',', 'ohne', 'weitere', 'quantitative', 'Angaben', '.']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
27,"[108, 10, 90, 40, 61, 118, 4, 19, 52, 73, 73]","[117, 18, 107, 47, 68, 123, 9, 27, 60, 89, 123]","['Christian', 'Ergebnis', 'Ministerpräsident', 'Prozent', 'Stimmen', 'Wulff', 'beste', 'erzielte', 'gültigen', 'niedersächsische', 'niedersächsische Ministerpräsident Christian Wulff']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","['Das', 'beste', 'Ergebnis', 'erzielte', 'mit', '86', ',', '88', 'Prozent', 'der', 'gültigen', 'Stimmen', 'der', 'niedersächsische', 'Ministerpräsident', 'Christian', 'Wulff', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
28,"[39, 4, 17, 51, 70]","[46, 12, 27, 58, 82]","['Angaben', 'Besitzer', 'Nachtclubs', 'Polizei', 'festgenommen']","[1, 0, 0, 0, 1]","['Der', 'Besitzer', 'des', 'Nachtclubs', 'wurde', 'nach', 'Angaben', 'der', 'Polizei', 'inzwischen', 'festgenommen', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
29,"[4, 21, 40, 31, 31]","[12, 30, 44, 39, 44]","['Dirigent', 'Italiener', 'Muti', 'Riccardo', 'Riccardo Muti']","[1, 0, 0, 0, 1]","['Der', 'Dirigent', 'war', 'der', 'Italiener', 'Riccardo', 'Muti', '.']","[0, 1, 0, 0, 0, 0, 0, 0]"
30,"[9, 34, 46, 20, 4]","[19, 38, 51, 28, 8]","['Bühnenturm', 'Höhe', 'Meter', 'erreicht', 'neue']","[1, 0, 0, 0, 0]","['Der', 'neue', 'Bühnenturm', 'erreicht', 'eine', 'Höhe', 'von', '38', 'Meter', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
31,"[129, 27, 27, 43, 112, 153, 75, 50, 137, 89, 59, 4]","[136, 42, 58, 49, 128, 160, 82, 58, 144, 111, 66, 26]","['Annette', 'CDU-Vorsitzende', 'CDU-Vorsitzende Jürgen Rüttgers', 'Jürgen', 'Kultusministerin', 'Prozent', 'Prozent', 'Rüttgers', 'Schavan', 'baden-württembergische', 'erhielt', 'nordrhein-westfälische']","[0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","['Der', 'nordrhein-westfälische', 'CDU-Vorsitzende', 'Jürgen', 'Rüttgers', 'erhielt', '79', ',', '27', 'Prozent', ',', 'die', 'baden-württembergische', 'Kultusministerin', 'Annette', 'Schavan', '78', ',', '54', 'Prozent', '.']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
32,"[49, 99, 89, 137, 156, 14, 119, 119, 23, 4, 4]","[59, 118, 94, 151, 160, 22, 136, 151, 33, 13, 22]","['Begründung', 'Gerichtsverhandlung', 'Laufe', 'Manipulationen', 'Wahl', 'Wortlaut', 'bekanntgewordenen', 'bekanntgewordenen Manipulationen', 'beschränkt', 'originale', 'originale Wortlaut']","[1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","['Der', 'originale', 'Wortlaut', 'beschränkt', 'sich', 'in', 'seiner', 'Begründung', 'jedoch', 'nur', 'auf', 'wenige', 'der', 'im', 'Laufe', 'der', 'Gerichtsverhandlung', 'bekanntgewordenen', 'Manipulationen', 'der', 'Wahl', '.']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]"
33,"[155, 155, 270, 163, 239, 77, 255, 24, 99, 190, 54, 131, 131, 105, 275, 47, 222, 83, 186]","[158, 167, 274, 167, 243, 82, 261, 34, 104, 206, 69, 150, 167, 116, 288, 53, 231, 98, 189]","['ESA', 'ESA Dr. Jost', 'Ende', 'Jost', 'Lage', 'Reihe', 'Studie', 'Teilnehmer', 'Tests', 'Versuchspersonen', 'Voraussetzungen', 'WISE-Projektmanager', 'WISE-Projektmanager der ESA Dr. Jost', 'absolvieren', 'durchzustehen', 'obigen', 'psychisch', 'psychologischer', 'sei']","[1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","['Des', 'weiteren', 'müssen', 'die', 'Teilnehmer', ',', 'außer', 'den', 'obigen', 'Voraussetzungen', ',', 'eine', 'Reihe', 'psychologischer', 'Tests', 'absolvieren', ',', 'da', 'laut', 'dem', 'WISE-Projektmanager', 'der', 'ESA', 'Dr.', 'Jost', 'es', 'sehr', 'wichtig', ',', 'sei', 'Versuchspersonen', 'zu', 'haben', ',', 'die', 'psychisch', 'in', 'der', 'Lage', 'sind', ',', 'die', 'Studie', 'bis', 'zum', 'Ende', 'durchzustehen', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"[20, 41, 8, 32]","[31, 51, 13, 40]","['Restriktion', 'aufgehoben', 'müsse', 'umgehend']","[1, 0, 0, 1]","['Deshalb', 'müsse', 'diese', 'Restriktion', 'umgehend', 'aufgehoben', 'werden', '.']","[0, 0, 0, 1, 1, 0, 0, 0]"
35,"[0, 93, 110, 41, 41, 122, 29, 56, 18]","[8, 101, 117, 55, 66, 134, 36, 66, 28]","['Dezember', 'Einfluss', 'Haltung', 'Treibhausgasen', 'Treibhausgasen eingeräumt', 'US-Regierung', 'Wirkung', 'eingeräumt', 'schädliche']","[0, 0, 1, 1, 1, 0, 0, 1, 0]","['Dezember', '2004', 'die', 'schädliche', 'Wirkung', 'von', 'Treibhausgasen', 'eingeräumt', ',', 'das', 'hatte', 'jedoch', 'keinen', 'Einfluss', 'auf', 'die', 'Haltung', 'der', 'US-Regierung', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
36,"[0, 32, 14]","[8, 37, 24]","['Dezember', 'müsse', 'wiederholt']","[0, 0, 0]","['Dezember', '2004', 'wiederholt', 'werden', 'müsse', '.']","[0, 0, 0, 0, 0, 0]"
37,"[56, 0, 17, 44, 52, 33, 66]","[65, 8, 28, 51, 65, 40, 76]","['Bewährung', 'Dezember', 'Haftstrafen', 'Monaten', 'auf Bewährung', 'jeweils', 'verurteilt']","[1, 0, 1, 0, 1, 0, 0]","['Dezember', '2004', 'zu', 'Haftstrafen', 'von', 'jeweils', '21', 'Monaten', 'auf', 'Bewährung', 'verurteilt', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
38,"[4, 71, 35, 85, 41, 59, 26]","[11, 84, 40, 94, 49, 70, 34]","['Akustik', 'Bühnentechnik', 'Stand', 'eingebaut', 'gebracht', 'hochmoderne', 'neuesten']","[1, 1, 0, 0, 0, 1, 0]","['Die', 'Akustik', 'wurde', 'auf', 'den', 'neuesten', 'Stand', 'gebracht', 'und', 'eine', 'hochmoderne', 'Bühnentechnik', 'eingebaut', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
39,"[4, 68, 40, 86, 93, 63, 26]","[7, 79, 58, 92, 103, 67, 39]","['BVG', 'Bedürfnisse', 'Fahrplanänderungen', 'Kunden', 'einstellen', 'neue', 'umfangreichen']","[1, 1, 1, 0, 0, 0, 1]","['Die', 'BVG', 'will', 'sich', 'mit', 'den', 'umfangreichen', 'Fahrplanänderungen', 'auf', 'neue', 'Bedürfnisse', 'ihrer', 'Kunden', 'einstellen', '.']","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
40,"[26, 4, 46, 46, 126, 94, 66, 79, 60, 60, 141, 8, 56, 102, 113]","[39, 7, 55, 89, 140, 99, 74, 89, 65, 89, 150, 14, 59, 105, 125]","['Bettenstation', 'ESA', 'Institute', 'Institute for Space Medicine and Physiology', 'Lebensumstände', 'MEDES', 'Medicine', 'Physiology', 'Space', 'Space Medicine and Physiology', 'angepasst', 'betont', 'for', 'gut', 'horizontalen']","[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]","['Die', 'ESA', 'betont', ',', 'dass', 'die', 'Bettenstation', 'des', '„', 'Institute', 'for', 'Space', 'Medicine', 'and', 'Physiology', '“', '(', 'MEDES', ')', 'gut', 'an', 'die', 'horizontalen', 'Lebensumstände', 'angepasst', 'ist', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
41,"[51, 45, 4, 33, 33, 24, 15]","[57, 50, 14, 44, 57, 32, 19]","['Damrau', 'Diana', 'Hauptrolle', 'Sopranistin', 'Sopranistin Diana Damrau', 'deutsche', 'sang']","[0, 0, 1, 1, 1, 0, 0]","['Die', 'Hauptrolle', 'sang', 'die', 'deutsche', 'Sopranistin', 'Diana', 'Damrau', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0]"
42,"[33, 97, 4, 81, 56, 122, 65]","[45, 115, 16, 88, 61, 129, 73]","['Führerschein', 'Führerscheinklasse', 'Jugendlichen', 'Prüfung', 'Wagen', 'ablegen', 'erhalten']","[0, 0, 0, 1, 1, 1, 0]","['Die', 'Jugendlichen', 'müssen', ',', 'um', 'den', 'Führerschein', 'für', 'diese', 'Wagen', 'zu', 'erhalten', ',', 'eine', 'Prüfung', 'für', 'die', 'Führerscheinklasse', '„', 'S', '“', 'ablegen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
43,"[4, 4, 14]","[13, 19, 19]","['Mailänder', 'Mailänder Scala', 'Scala']","[0, 1, 0]","['Die', 'Mailänder', 'Scala', 'wurde', 'am', '3.']","[0, 0, 0, 0, 0, 0]"
44,"[107, 71, 85, 4, 56, 30, 98, 134, 17, 17, 138, 119]","[118, 76, 93, 12, 67, 42, 106, 137, 29, 42, 155, 127]","['Behinderung', 'Hause', 'Menschen', 'Regelung', 'Stimmabgabe', 'Wahlgesetzes', 'schwerer', 'sei', 'ukrainischen', 'ukrainischen Wahlgesetzes', 'verfassungswidrig', 'zulässig']","[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]","['Die', 'Regelung', 'des', 'ukrainischen', 'Wahlgesetzes', ',', 'wonach', 'die', 'Stimmabgabe', 'zu', 'Hause', 'nur', 'für', 'Menschen', 'mit', 'schwerer', 'Behinderung', 'zulässig', 'ist', ',', 'sei', 'verfassungswidrig', '.']","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
45,"[26, 17, 51, 4]","[31, 22, 57, 16]","['Alter', 'Chefs', 'Jahren', 'hochrangigen']","[0, 0, 0, 1]","['Die', 'hochrangigen', 'Chefs', 'im', 'Alter', 'von', '62', ',', '64', 'und', '66', 'Jahren', 'wurden', 'am', '20.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[76, 33, 33, 40, 157, 19, 134, 101, 170, 108, 50, 151, 4, 4]","[90, 39, 49, 49, 169, 28, 146, 107, 178, 118, 58, 156, 18, 28]","['Auslandsungarn', 'Ferenc', 'Ferenc Gyurcsány', 'Gyurcsány', 'Mehrausgaben', 'Regierung', 'Sozialkassen', 'Ungarn', 'belasten', 'einwandern', 'fürchtet', 'hohen', 'sozialistische', 'sozialistische Regierung']","[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1]","['Die', 'sozialistische', 'Regierung', 'von', 'Ferenc', 'Gyurcsány', 'fürchtet', ',', 'dass', 'viele', 'der', 'Auslandsungarn', 'dann', 'nach', 'Ungarn', 'einwandern', 'würden', 'und', 'die', 'Sozialkassen', 'mit', 'hohen', 'Mehrausgaben', 'belasten', 'würden', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
